Page,Type,Content
1,Header,C _ Group Management Report _ Sustainability Statement
1,Title,SUSTAINABILITY STATEMENT
1,UncategorizedText,"Sustainability Statement, which also fulfils the requirements for the Group non-financial statement prepared in accordance with sections § 315b to § 315c HGB"
1,Title,BASIS FOR PREPARATION
1,NarrativeText,Allianz Group approach to sustainability reporting
1,NarrativeText,"Allianz’s purpose – We secure your future – guides our actions across the Allianz Group and drives us to pursue constant innovation and collaboration. It also guides our interactions with our customers, partners, employees, investors, governments, regulators, society, people with disabilities, and next generations across all our businesses."
1,Title,How do we make sure action is taken? — Policies
1,NarrativeText,"At Allianz, business decision-making is governed by our corporate rules and is subject to oversight. The section Integrating sustainability via corporate rules and other ESRS policies outlines how we integrate sustainability matters into decision-making. Detailed corporate rules and other policies in the meaning of ESRS on specific ESRS topics are explained in the respective topical sections of the report and the section Allianz ESRS policies. Information on policies in the meaning of ESRS is highlighted in bold and dark blue."
1,NarrativeText,"Our ambition is to actively support the transition toward a more sustainable economy in collaboration with our value chain, focusing on measurable actions, transparent reporting, and long-term positive impacts across societies, economies, and the environment."
1,NarrativeText,"A core pillar of our sustainability ambition is to follow clear, transparent practices and provide high-quality, verifiable reporting that reflects our ongoing commitment to measurable sustainability outcomes. Our Sustainability Statement outlines the sustainability matters material for Allianz and how we address them. We adhere to the European Sustainability Reporting Standards (ESRS) structure, which focuses on key sustainability aspects (environment, social, and governance) and provides a robust disclosure framework for comparability and credibility. In alignment with these standards, we have structured our Sustainability Statement in key sections, as detailed in the following paragraphs."
1,Title,Which sustainability matters are relevant for Allianz? - Materiality
1,Title,What is our concrete ambition level? - Targets
1,NarrativeText,"Where applicable, we set concrete targets related to relevant sustainability matters. These targets are our yardsticks defining our ambition level in the respective area. Following the ESRS structure, we include two sections on targets:"
1,NarrativeText,"− the sustainability targets relevant to board remuneration in the section Board of Management target process, and − additional “targets” related to relevant sustainability matters in the topical sections of the report."
1,NarrativeText,"As fiduciaries, our asset managers have a responsibility to manage each client’s assets prudently in accordance with their specified portfolio objectives and guidelines. For this reason, our Asset Managers manage third-party client assets solely in consideration of these objectives and guidelines, and do not apply Allianz’s targets when managing these third-party client assets."
