english,german,similarity
"In 2019 we have grown to new record levels: Our revenues reached € 142.4 bn, our operating profit € 11.9 bn.","Mit unserem Wachstum haben wir 2019 einen neuen Rekord aufgestellt: Unser Umsatz stieg auf 142,4 Mrd €, unser operatives Ergebnis auf 11,9 Mrd €.",0.865973949432373
Our healthy business mix and global diversification allowed us to outperform yet another year despite challenges in the performance of our industrial insurance segment.,Dank unseres robusten Geschäftsmixes und unserer globalen Diversifikation konnten wir uns trotz der Herausforderungen in unserem Ge- schäftsbereich Industrieversicherung ein weiteres Jahr selbst übertreffen.,0.8623870015144348
We achieved growth by gaining market share in mature but relatively saturated markets and through strategic expansion in selected regions.,"Wir erzielten Wachstum, indem wir Marktanteile in reifen, aber relativ gesättigten Märkten erobern und strategisch in ausgewählte Regionen expandieren.",0.8997730612754822
"In Germany, for example, we grew by 15 % – the rest of the market by 4 %.",So sind wir in Deutschland beispiels- weise um 15 % gewachsen – der übrige Markt um 4 %.,0.921983540058136
"At the same time, we are strengthening our presence in growing markets such as Brazil and China; e.g., through our partnership with JD.com.","Zugleich verstärken wir unsere Präsenz in Wachstumsmärkten wie Bra- silien und China, etwa durch unsere Partnerschaft mit JD.com.",0.8652952909469604
"Our Asset Management segment reached € 1,686 bn in third-party assets under management, a level unprecedented in our history – another strong indicator of how much trust clients worldwide extend to us.","Unser Geschäftsbereich Asset Management erreichte mit ei- nem für Dritte verwalteten Vermögen von 1 686 Mrd € ein in unserer Unternehmensgeschichte noch nie dagewesenes Volu- men – ein weiteres starkes Zeichen dafür, wie viel Vertrauen unsere Kunden weltweit in uns setzen.",0.8797736763954163
"Our sustained and sustainable business success allows us to gratify you, our shareholders: As we achieved a net income attributable to shareholders of € 7.9 bn, we are in the position to propose another increase in dividends to € 9.60 per share – the seventh increase in a row.","Unser anhaltender und nachhaltiger Geschäftserfolg erlaubt es uns, Sie, unsere Aktionäre, an unseren Gewinnen zu beteiligen: Unser auf die Aktionäre entfallender Jahresüberschuss von 7,9 Mrd € macht es uns möglich, eine weitere Erhöhung der Dividende auf 9,60 € je Aktie vorzuschlagen – die siebte in Folge.",0.8571898937225342
"The new spirit can be felt throughout the organization, and it is expressed in our Inclusive Meritocracy Index, which measures leadership and performance culture, reaching an all-time high of 73 %.","Dieser neue Unternehmergeist ist in der gesamten Organisation zu spüren und kommt in unserem Inclusive Meritocracy Index zum Ausdruck, der die Führungs- und Leistungskultur misst und mit 73 % ein Allzeithoch erreicht hat.",0.8845558166503906
Our asset manager PIMCO completed its acquisition of Gurtin Municipal Bond Management to offer clients a more extensive and enhanced suite of strategies and services.,Unser Asset Manager PIMCO schloss die Übernahme von Gurtin Municipal Bond Management ab und kann seinen Kunden dadurch ein noch umfassenderes und verbessertes Angebot an Anlagestrategien und -diensten bieten.,0.9196751117706299
"In the Top 100 of global brands, we moved up six places to number 43.",Unter den Top 100 der globalen Unternehmensmarken haben wir uns außerdem um sechs Plätze auf Platz 43 verbessert.,0.8573187589645386
"Along the same lines, we also co-chair the Global Investors for Sustainable Development (GISD) initiative, which aims to scale up finance and investment in sustainable development.","Außerdem sind wir Co-Vorsitzende der Initiative Global Investors for Sustainable Deve- lopment (GISD), deren Ziel es ist, die Finanzierung von und Investition in nachhaltiger Entwicklung zu steigern.",0.9269985556602478
Through actions like these we gain leading positions in key sustainability rankings like the Dow Jones Sustainability Indices year after year.,Durch Maßnahmen wie diese nehmen wir Jahr für Jahr Führungspositionen in wesentlichen Nachhaltigkeitsrankings wie den Dow Jones Sustainability Indizes ein.,0.8786441087722778
"Like every year, 2019 also presented some challenges.",Wie jedes Jahr ging auch 2019 mit einigen Herausforderungen einher.,0.8911720514297485
Our resilience is fostered by our strategy “Simplicity Wins”.,Unsere Widerstandskraft gründet sich auf unserer Strategie „Simplicity Wins“.,0.9237770438194275
We are making insurance and investing simpler for our clients.,Wir machen Versicherungen und Kapitalanla- gen für unsere Kunden einfacher.,0.8698323965072632
"We are slimming down our products, our processes, and our IT.","Wir verschlanken unsere Produktpalette, unsere Prozesse und unsere IT-Systeme.",0.8914871215820312
